,count,mean,std,min,25%,50%,75%,max
"('pt-BR',)",11226.0,1.8858008195261,2.006839011892945,0.0,0.0,2.0,3.0,12.0
"('pt-PT',)",11226.0,1.9308747550329592,2.051374872976497,0.0,0.0,2.0,3.0,12.0
"('da-DA',)",11226.0,2.0302868341350435,2.076267476715866,0.0,0.0,2.0,3.0,12.0
"('de-DE',)",11226.0,2.1114377338321755,2.1200830213389743,0.0,0.0,2.0,3.0,12.0
"('sv-SV',)",11226.0,2.1273828612150365,2.1278059950679227,0.0,0.0,2.0,3.0,13.0
"('el-EL',)",11226.0,2.137092463923036,2.1306547128504314,0.0,0.0,2.0,3.0,12.0
"('nl-NL',)",11226.0,2.147514698022448,2.1455649737485984,0.0,0.0,2.0,3.0,13.0
"('ro-RO',)",11226.0,2.27659005879209,2.199538073948341,0.0,0.0,2.0,4.0,13.0
"('it-IT',)",11226.0,2.3146267593087475,2.1928967791124045,0.0,0.0,2.0,4.0,13.0
"('ru-RU',)",11226.0,2.5311776233743095,2.2596211092571155,0.0,0.0,2.0,4.0,13.0
"('es-ES',)",11226.0,2.547479066452877,2.321952823339795,0.0,0.0,2.0,4.0,12.0
"('bg-BG',)",11226.0,2.584446819882416,2.299383947993389,0.0,0.0,2.0,4.0,14.0
"('cs-CS',)",11226.0,2.63174772848744,2.335351351303944,0.0,0.0,2.0,4.0,14.0
"('sk-SK',)",11226.0,2.6398539105647605,2.3354521385271103,0.0,0.0,2.0,4.0,15.0
"('pl-PL',)",11226.0,2.6465348298592555,2.3409104924408655,0.0,0.0,2.0,4.0,16.0
"('fi-FI',)",11226.0,2.8068768929271335,2.4119470478415623,0.0,1.0,2.0,4.0,14.0
"('et-ET',)",11226.0,2.8666488508818815,2.4433241318626875,0.0,1.0,2.0,4.0,15.0
"('lv-LV',)",11226.0,2.8790308213076785,2.3792294209357783,0.0,1.0,2.0,4.0,15.0
"('hu-HU',)",11226.0,2.931854623196152,2.4592332045326097,0.0,1.0,3.0,4.0,13.0
"('sl-SL',)",11226.0,3.0958489221450205,2.4731406425518143,0.0,1.0,3.0,5.0,14.0
"('lv-LV', 'sv-SV')",11226.0,3.2164617851416355,2.5028802626366864,0.0,1.0,3.0,5.0,16.0
"('et-ET', 'sv-SV')",8934.0,3.2273337810611147,2.5612672889513584,0.0,1.0,3.0,5.0,16.0
"('hu-HU', 'el-EL')",11226.0,3.260823089257082,2.558262042204431,0.0,1.0,3.0,5.0,14.0
"('hu-HU', 'ro-RO')",11226.0,3.2713344022804205,2.551029582282344,0.0,1.0,3.0,5.0,15.0
"('hu-HU', 'da-DA')",11226.0,3.273472296454659,2.5519186205420845,0.0,1.0,3.0,5.0,14.0
"('lv-LV', 'pt-PT')",9000.0,3.29,2.508948314902013,0.0,1.0,3.0,5.0,14.0
"('sl-SL', 'cs-CS')",11226.0,3.303670051665776,2.54355009948407,0.0,1.0,3.0,5.0,15.0
"('lv-LV', 'ro-RO')",11226.0,3.309371102797078,2.4989361506602523,0.0,2.0,3.0,5.0,14.0
"('hu-HU', 'pt-PT')",11226.0,3.31168715481917,2.5618827751676045,0.0,1.0,3.0,5.0,14.0
"('hu-HU', 'sv-SV')",11226.0,3.313023338678069,2.574952781159561,0.0,1.0,3.0,5.0,15.0
"('lv-LV', 'sk-SK')",11226.0,3.313468733297702,2.530137341933156,0.0,1.0,3.0,5.0,15.0
"('hu-HU', 'pt-BR')",11226.0,3.3159629431676465,2.5650083150307292,0.0,1.0,3.0,5.0,14.0
"('sl-SL', 'sk-SK')",11226.0,3.3165864956351325,2.54591426198041,0.0,1.0,3.0,5.0,15.0
"('sl-SL', 'da-DA')",11226.0,3.3197933368964905,2.5335159495092903,0.0,2.0,3.0,5.0,15.0
"('hu-HU', 'de-DE')",11226.0,3.3228220203099945,2.5647966789419194,0.0,1.0,3.0,5.0,14.0
"('lv-LV', 'ru-RU')",11226.0,3.3245145198646,2.498583894771214,0.0,2.0,3.0,5.0,15.0
"('sl-SL', 'sv-SV')",11226.0,3.351861749510066,2.550726279199191,0.0,2.0,3.0,5.0,14.0
"('sl-SL', 'el-EL')",11226.0,3.382326741492963,2.549659195978127,0.0,2.0,3.0,5.0,14.0
"('sl-SL', 'ro-RO')",11226.0,3.3841083199714945,2.562079558412116,0.0,2.0,3.0,5.0,15.0
"('hu-HU', 'nl-NL')",11226.0,3.400320684126136,2.5842241769019147,0.0,2.0,3.0,5.0,15.0
"('hu-HU', 'it-IT')",11226.0,3.4010333155175485,2.5865257848995267,0.0,2.0,3.0,5.0,15.0
"('sl-SL', 'pt-BR')",11226.0,3.4061998931052915,2.557659852033277,0.0,2.0,3.0,5.0,14.0
"('sl-SL', 'de-DE')",11226.0,3.413326207019419,2.556552634288379,0.0,2.0,3.0,5.0,16.0
"('sl-SL', 'pt-PT')",11226.0,3.435150543381436,2.578950073751448,0.0,2.0,3.0,5.0,14.0
"('hu-HU', 'cs-CS')",11226.0,3.467397113842865,2.6021503416072322,0.0,2.0,3.0,5.0,15.0
"('sl-SL', 'nl-NL')",11226.0,3.4794227685729555,2.5789234241396115,0.0,2.0,3.0,5.0,14.0
"('sl-SL', 'ru-RU')",11226.0,3.4816497416711205,2.560462093713517,0.0,2.0,3.0,5.0,14.0
"('hu-HU', 'sk-SK')",11226.0,3.49135934437912,2.6101337865412333,0.0,2.0,3.0,5.0,15.0
"('sl-SL', 'bg-BG')",11226.0,3.492873686085872,2.556025762125485,0.0,2.0,3.0,5.0,15.0
"('hu-HU', 'fi-FI')",11226.0,3.5106003919472655,2.6079754079715274,0.0,2.0,3.0,5.0,14.0
"('hu-HU', 'bg-BG')",11226.0,3.5161232852307145,2.5981933364159566,0.0,2.0,3.0,5.0,15.0
"('hu-HU', 'es-ES')",11226.0,3.516212364154641,2.635301706984437,0.0,2.0,3.0,5.0,14.0
"('sl-SL', 'pl-PL')",11226.0,3.516835916622127,2.596508157370685,0.0,2.0,3.0,5.0,14.0
"('hu-HU', 'et-ET')",11226.0,3.5587920897915555,2.61739422639552,0.0,2.0,3.0,5.0,16.0
"('cs-CS', 'es-ES')",5352.0,3.570814648729447,2.629958407933233,0.0,2.0,3.0,5.0,15.0
"('hu-HU', 'ru-RU')",11226.0,3.572243007304472,2.604431907517961,0.0,2.0,3.0,5.0,14.0
"('sl-SL', 'it-IT')",11226.0,3.583110636023517,2.5913846944993577,0.0,2.0,3.0,5.0,14.0
"('sl-SL', 'lv-LV')",11226.0,3.6078745768751115,2.581204357759587,0.0,2.0,3.0,5.0,14.0
"('hu-HU', 'pl-PL')",11226.0,3.6166933903438445,2.6304983845893832,0.0,2.0,3.0,5.0,15.0
"('lv-LV', 'sl-SL')",11226.0,3.625512203812578,2.588989076252685,0.0,2.0,3.0,5.0,15.0
"('sl-SL', 'fi-FI')",11226.0,3.7112952075538925,2.650936847765386,0.0,2.0,3.0,5.0,16.0
"('sl-SL', 'hu-HU')",11226.0,3.7112952075538925,2.6431625076155147,0.0,2.0,3.0,5.0,16.0
"('sl-SL', 'es-ES')",11226.0,3.7350792802422945,2.6442209251618425,0.0,2.0,3.0,5.0,14.0
"('sl-SL', 'et-ET')",11226.0,3.7373062533404595,2.6291210712375026,0.0,2.0,3.0,5.0,16.0
"('hu-HU', 'lv-LV')",11226.0,3.7386424371993585,2.613127334950034,0.0,2.0,3.0,5.0,16.0
"('hu-HU', 'sl-SL')",11226.0,3.815428469624087,2.6776908542304687,0.0,2.0,4.0,6.0,16.0
